date,air_temp_set_1,air_temp_set_2,dew_point_temperature_set_1d,relative_humidity_set_1,solar_radiation_set_1
2018-01-01 00:00:00,11.565,11.465,8.120000000000001,79.585,66.29
2018-01-01 00:30:00,11.515,11.46,8.16,80.06,36.525
2018-01-01 01:00:00,11.03,11.08,8.015,81.85,4.13
2018-01-01 01:30:00,10.75,10.785,7.975,83.15,0.12
2018-01-01 02:00:00,10.785,10.835,7.975,82.94999999999999,0.0
2018-01-01 02:30:00,10.725,10.765,7.945,83.1,0.0
2018-01-01 03:00:00,10.55,10.614999999999998,8.045,84.65,0.0
2018-01-01 03:30:00,10.405,10.48,8.025,85.35,0.0
2018-01-01 04:00:00,10.07,10.2,7.98,87.0,0.0
2018-01-01 04:30:00,9.915,10.095,8.035,88.2,0.0
2018-01-01 05:00:00,9.805,9.92,8.115,89.35,0.0
2018-01-01 05:30:00,9.805,9.895,8.239999999999998,90.1,0.0
2018-01-01 06:00:00,9.79,9.875,8.205,89.94999999999999,0.0
2018-01-01 06:30:00,9.795,9.895,8.105,89.35,0.0
2018-01-01 07:00:00,9.91,9.975,8.12,88.75,0.0
2018-01-01 07:30:00,10.065,10.11,8.065,87.55000000000001,0.0
2018-01-01 08:00:00,10.07,10.14,7.95,86.8,0.0
2018-01-01 08:30:00,10.075,10.195,7.885,86.4,0.0
2018-01-01 09:00:00,10.114999999999998,10.445,7.545,84.25,0.0
2018-01-01 09:30:00,10.1,10.64,7.34,83.15,0.0
2018-01-01 10:00:00,10.18,10.495,7.42,83.15,0.0
2018-01-01 10:30:00,10.14,10.485,7.305,82.75,0.0
2018-01-01 11:00:00,10.325,10.595,7.385,82.2,0.0
2018-01-01 11:30:00,9.78,10.2,7.245,84.4,0.0
2018-01-01 12:00:00,9.125,9.66,7.095,87.25,0.0
2018-01-01 12:30:00,9.18,9.97,7.255,87.9,0.0
2018-01-01 13:00:00,9.39,9.93,7.130000000000001,85.94999999999999,0.0
2018-01-01 13:30:00,9.67,9.945,7.385,85.8,0.0
2018-01-01 14:00:00,9.605,9.985,7.345,85.94999999999999,0.0
2018-01-01 14:30:00,9.62,9.91,7.445,86.44999999999999,0.0
