timestamp [dd/mm/yyyy HH:MM],ki [%],o1_1 [%],o1_2 [%],o2 [%],o3 [%],o4 [%],mr [%]
2013-01-01 00:00:00,19.2,22.8,23.1,20.8,25.1,22.4,19.650000000000002
2013-01-01 01:00:00,19.4,22.875,23.375,20.6,25.225,22.75,20.05
2013-01-01 02:00:00,19.5,22.275,23.05,20.25,25.475,22.4,19.875
2013-01-01 03:00:00,19.975,22.4,23.175,20.525,25.275,22.6,19.825
2013-01-01 04:00:00,19.9,22.7,23.05,20.225,25.175,22.45,19.875
2013-01-01 05:00:00,19.875,22.6,23.05,20.0,25.15,23.05,19.775
2013-01-01 06:00:00,19.55,22.725,22.425,20.225,24.95,23.1,19.725
2013-01-01 07:00:00,19.45,22.349999999999998,22.55,20.15,24.6,23.1,19.35
2013-01-01 08:00:00,19.425,22.299999999999997,22.525,20.25,24.975,22.925,19.35
2013-01-01 09:00:00,19.6,22.325,22.525,20.075,25.1,22.6,19.575000000000003
2013-01-01 10:00:00,19.3,22.4,22.875,20.35,24.9,22.950000000000003,19.2
2013-01-01 11:00:00,19.4,22.5,22.625,20.424999999999997,24.925,22.575,19.2
2013-01-01 12:00:00,19.225,22.25,22.475,20.4,25.1,22.200000000000003,19.2
2013-01-01 13:00:00,19.25,22.475,22.375,20.4,25.1,22.125,19.25
2013-01-01 14:00:00,19.15,22.15,22.875,20.4,24.775000000000002,22.5,19.275
2013-01-01 15:00:00,19.675,22.0,22.700000000000003,20.4,24.625,22.925,19.2
2013-01-01 16:00:00,19.125,22.0,22.35,19.9,24.950000000000003,22.674999999999997,19.3
2013-01-01 17:00:00,19.35,22.0,22.5,19.85,24.825,22.5,19.375
2013-01-01 18:00:00,19.35,22.0,22.6,19.6,24.7,22.675,19.225
2013-01-01 19:00:00,19.075,22.0,22.65,19.95,24.85,22.55,19.35
2013-01-01 20:00:00,19.075,22.0,22.975,20.125,24.8,22.5,19.575
2013-01-01 21:00:00,19.05,22.1,22.65,20.025,24.475,22.55,19.475
2013-01-01 22:00:00,19.075,22.0,22.725,20.125,24.9,22.8,19.35
2013-01-01 23:00:00,18.8,22.025,22.525,20.0,24.775,22.675,19.325
2013-01-02 00:00:00,19.275,22.225,22.725,20.0,24.675,22.7,19.375
2013-01-02 01:00:00,19.25,22.1,22.925,20.125,24.55,22.625,19.425
2013-01-02 02:00:00,19.3,22.2,22.925,20.0,24.6,22.525,19.2
2013-01-02 03:00:00,19.525000000000002,22.0,22.8,19.700000000000003,24.775,22.8,19.4
2013-01-02 04:00:00,19.375,22.0,22.8,19.6,24.7,22.725,19.425
2013-01-02 05:00:00,19.2,22.1,22.6,19.6,24.775000000000002,22.375,19.3
2013-01-02 06:00:00,19.1,21.75,22.9,19.6,24.575000000000003,22.75,19.475
2013-01-02 07:00:00,19.1,21.725,22.425,19.575000000000003,24.425,22.8,19.225
2013-01-02 08:00:00,19.1,21.875,22.4,19.825,24.4,22.5,19.2
2013-01-02 09:00:00,19.075,22.15,22.575,19.85,24.950000000000003,22.425,19.475
2013-01-02 10:00:00,20.3,22.9,23.2,20.4,24.65,22.8,19.475
2013-01-02 11:00:00,19.775,23.025,23.674999999999997,20.799999999999997,25.2,23.1,19.475
2013-01-02 12:00:00,20.55,22.975,23.35,21.375,25.35,22.525,19.775
2013-01-02 13:00:00,20.7,23.625,23.775,21.8,25.375,22.7,20.0
2013-01-02 14:00:00,21.675,23.75,23.875,21.9,25.200000000000003,23.225,19.875
2013-01-02 15:00:00,21.525,24.075,23.95,21.975,25.55,23.65,20.125
2013-01-02 16:00:00,21.575,24.0,23.599999999999998,21.75,25.375,23.675,20.4
2013-01-02 17:00:00,21.0,23.7,24.0,22.0,25.5,23.65,20.8
2013-01-02 18:00:00,20.8,23.65,23.9,21.9,25.625,23.1,20.675
2013-01-02 19:00:00,20.475,23.5,23.775,21.575,25.825,23.425,20.8
2013-01-02 20:00:00,20.25,23.5,23.799999999999997,21.7,25.974999999999998,23.725,20.525
2013-01-02 21:00:00,20.175,23.5,23.8,21.6,26.225,24.049999999999997,20.424999999999997
2013-01-02 22:00:00,20.45,23.5,23.675,21.45,25.825,23.299999999999997,20.525
2013-01-02 23:00:00,20.125,23.5,23.75,21.6,25.9,23.474999999999998,20.675
2013-01-03 00:00:00,20.125,23.1,23.825,21.225,26.175,23.275,20.55
2013-01-03 01:00:00,20.15,23.0,23.675,21.325,26.0,23.225,20.5
2013-01-03 02:00:00,20.299999999999997,23.1,23.5,21.15,25.9,23.5,20.4
2013-01-03 03:00:00,19.675,22.75,23.4,20.675,26.125,23.65,20.45
2013-01-03 04:00:00,19.875,22.9,23.5,20.8,26.3,23.2,20.474999999999998
2013-01-03 05:00:00,19.75,22.4,23.625,20.525,25.65,23.25,20.4
2013-01-03 06:00:00,19.975,22.575,23.45,20.825,25.725,23.4,20.575
2013-01-03 07:00:00,19.3,22.5,23.025000000000002,20.7,25.9,23.55,20.85
2013-01-03 08:00:00,19.725,22.8,22.95,20.75,25.375,23.65,20.575
2013-01-03 09:00:00,19.8,22.575,22.875,20.625,25.7,23.275,19.75
2013-01-03 10:00:00,20.525,22.5,22.8,20.4,25.625,23.075,19.725
2013-01-03 11:00:00,19.675,21.85,22.700000000000003,20.35,25.5,22.65,19.625
2013-01-03 12:00:00,19.275,20.95,21.9,19.95,25.275,22.7,19.2
2013-01-03 13:00:00,19.225,21.825,22.65,19.95,25.225,22.8,19.075
2013-01-03 14:00:00,18.95,22.0,22.775,19.875,25.475,22.925,18.85
2013-01-03 15:00:00,19.2,22.1,22.325,20.525,25.1,22.4,18.95
2013-01-03 16:00:00,19.6,22.275,22.8,20.4,25.35,22.4,18.975
2013-01-03 17:00:00,19.425,22.75,23.075000000000003,20.525,25.825,22.7,19.2
2013-01-03 18:00:00,19.85,23.200000000000003,23.675,20.625,25.625,23.375,19.8
2013-01-03 19:00:00,20.3,23.5,23.65,21.075000000000003,25.625,23.625,19.825
